,state,deaths
0,Andaman & Nicobar,60
1,Andhra Pradesh,6744
2,Arunachal Pradesh,43
3,Assam,934
4,Bihar,1113
5,Chandigarh,229
6,Chhattisgarh,2316
7,Dadra and Nagar Haveli and Daman and Diu,2
8,Delhi,6703
9,Goa,626
10,Gujarat,3737
11,Haryana,1836
12,Himachal Pradesh,355
13,Jammu & Kashmir,1511
14,Jharkhand,894
15,Karnataka,11281
16,Kerala,1587
17,Ladakh,79
18,Madhya Pradesh,2987
19,Maharashtra,114947
20,Manipur,635
21,Meghalaya,309
22,Mizoram,112
23,Nagaland,44
24,Odisha,1364
25,Puducherry,597
26,Punjab,4259
27,Rajasthan,1945
28,Sikkim,73
29,Tamil Nadu,11244
30,Telangana,1362
31,Tripura,353
32,Uttarakhand,1038
33,Uttar Pradesh,7104
34,West Bengal,7068
